"","-","0","+"
"Bivalves",237,0,763
"D piscivores",176,0,824
"Detritus",389,0,611
"Discards",865,0,135
"Fishery",978,0,22
"Gelatinous zoop",738,0,262
"L benthivores",919,0,81
"Large pelagics",132,0,868
"Macrozoop",648,0,352
"Megabenthos",47,0,953
"Meiofauna",389,0,611
"Mesozoop",352,0,648
"Microflora",448,0,552
"Microzoop",633,0,367
"Other molluscs",833,0,167
"Other pelagic mesopelagic",447,0,553
"Phytoplankton",648,0,352
"Sea birds",442,0,558
"Seals",745,0,255
"Sharks",400,0,600
"Shrimps",495,0,505
"Skates",441,0,559
"Small crab other arthropoda",135,0,865
"Small pelagics",351,0,649
"Squids",936,0,64
"Toothed cetaceans",296,0,704
"Whales",648,0,352
"Worms",389,0,611
