"","-","0","+"
"Bivalves",128,776,96
"D piscivores",116,777,107
"Detritus",108,779,113
"Discards",100,777,123
"Fishery",113,778,109
"Gelatinous zoop",103,777,120
"L benthivores",83,834,83
"Large pelagics",116,781,103
"Macrozoop",114,781,105
"Megabenthos",109,779,112
"Meiofauna",101,780,119
"Mesozoop",114,782,104
"Microflora",93,781,126
"Microzoop",116,782,102
"Other molluscs",105,777,118
"Other pelagic mesopelagic",107,785,108
"Phytoplankton",106,806,88
"Sea birds",103,798,99
"Seals",1000,0,0
"Sharks",113,777,110
"Shrimps",113,775,112
"Skates",109,774,117
"Small crab other arthropoda",123,777,100
"Small pelagics",117,777,106
"Squids",91,777,132
"Toothed cetaceans",117,777,106
"Whales",110,777,113
"Worms",109,777,114
