"","-","0","+"
"Bivalves",501,0,499
"D piscivores",484,0,516
"Detritus",440,0,560
"Discards",362,0,638
"Fishery",168,0,832
"Gelatinous zoop",410,0,590
"L benthivores",509,0,491
"Large pelagics",684,0,316
"Macrozoop",549,0,451
"Megabenthos",448,0,552
"Meiofauna",484,0,516
"Mesozoop",523,0,477
"Microflora",420,0,580
"Microzoop",480,0,520
"Other molluscs",656,0,344
"Other pelagic mesopelagic",471,0,529
"Phytoplankton",545,0,455
"Sea birds",569,0,431
"Seals",380,0,620
"Sharks",648,0,352
"Shrimps",552,0,448
"Skates",598,0,402
"Small crab other arthropoda",531,0,469
"Small pelagics",472,0,528
"Squids",443,0,557
"Toothed cetaceans",557,0,443
"Whales",417,0,583
"Worms",415,0,585
