"","-","0","+"
"Bivalves",120,738,142
"D piscivores",120,738,142
"Detritus",130,738,132
"Discards",140,738,122
"Fishery",134,738,128
"Gelatinous zoop",120,737,143
"L benthivores",133,737,130
"Large pelagics",122,737,141
"Macrozoop",127,738,135
"Megabenthos",135,738,127
"Meiofauna",142,738,120
"Mesozoop",140,738,122
"Microflora",116,738,146
"Microzoop",121,738,141
"Other molluscs",144,741,115
"Other pelagic mesopelagic",118,739,143
"Phytoplankton",125,762,113
"Sea birds",116,763,121
"Seals",0,0,1000
"Sharks",132,738,130
"Shrimps",131,737,132
"Skates",128,738,134
"Small crab other arthropoda",121,738,141
"Small pelagics",125,738,137
"Squids",130,738,132
"Toothed cetaceans",134,738,128
"Whales",135,738,127
"Worms",128,738,134
