"","-","0","+"
"Bivalves",440,0,560
"D piscivores",551,0,449
"Detritus",540,0,460
"Discards",472,0,528
"Fishery",569,0,431
"Gelatinous zoop",361,0,639
"L benthivores",474,0,526
"Large pelagics",635,0,365
"Macrozoop",498,0,502
"Megabenthos",564,0,436
"Meiofauna",568,0,432
"Mesozoop",494,0,506
"Microflora",569,0,431
"Microzoop",649,0,351
"Other molluscs",359,0,641
"Other pelagic mesopelagic",483,0,517
"Phytoplankton",473,0,527
"Sea birds",508,0,492
"Seals",177,0,823
"Sharks",289,0,711
"Shrimps",529,0,471
"Skates",588,0,412
"Small crab other arthropoda",482,0,518
"Small pelagics",558,0,442
"Squids",479,0,521
"Toothed cetaceans",498,0,502
"Whales",554,0,446
"Worms",381,0,619
