"","-","0","+"
"Bivalves",288,0,712
"D piscivores",711,0,289
"Detritus",555,0,445
"Discards",519,0,481
"Fishery",134,0,866
"Gelatinous zoop",334,0,666
"L benthivores",669,0,331
"Large pelagics",759,0,241
"Macrozoop",458,0,542
"Megabenthos",625,0,375
"Meiofauna",575,0,425
"Mesozoop",665,0,335
"Microflora",386,0,614
"Microzoop",464,0,536
"Other molluscs",610,0,390
"Other pelagic mesopelagic",337,0,663
"Phytoplankton",639,0,361
"Sea birds",638,0,362
"Seals",334,0,666
"Sharks",881,0,119
"Shrimps",264,0,736
"Skates",576,0,424
"Small crab other arthropoda",305,0,695
"Small pelagics",723,0,277
"Squids",164,0,836
"Toothed cetaceans",780,0,220
"Whales",642,0,358
"Worms",568,0,432
