"","-","0","+"
"Bivalves",340,290,370
"D piscivores",322,299,379
"Detritus",309,374,317
"Discards",298,397,305
"Fishery",356,295,349
"Gelatinous zoop",372,269,359
"L benthivores",408,215,377
"Large pelagics",0,0,1000
"Macrozoop",245,481,274
"Megabenthos",389,248,363
"Meiofauna",318,371,311
"Mesozoop",269,456,275
"Microflora",311,361,328
"Microzoop",321,360,319
"Other molluscs",354,284,362
"Other pelagic mesopelagic",389,232,379
"Phytoplankton",267,485,248
"Sea birds",0,0,1000
"Seals",491,0,509
"Sharks",0,0,1000
"Shrimps",1000,0,0
"Skates",363,263,374
"Small crab other arthropoda",305,397,298
"Small pelagics",0,0,1000
"Squids",312,378,310
"Toothed cetaceans",0,0,1000
"Whales",270,454,276
"Worms",314,381,305
