"","-","0","+"
"Bivalves",1000,0,0
"D piscivores",100,805,95
"Detritus",67,882,51
"Discards",68,874,58
"Fishery",6,986,8
"Gelatinous zoop",1000,0,0
"L benthivores",123,722,155
"Large pelagics",85,848,67
"Macrozoop",58,866,76
"Megabenthos",9,980,11
"Meiofauna",57,883,60
"Mesozoop",1000,0,0
"Microflora",1000,0,0
"Microzoop",0,0,1000
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",1000,0,0
"Phytoplankton",1000,0,0
"Sea birds",0,1000,0
"Seals",85,848,67
"Sharks",12,984,4
"Shrimps",62,876,62
"Skates",7,984,9
"Small crab other arthropoda",58,874,68
"Small pelagics",85,848,67
"Squids",85,847,68
"Toothed cetaceans",8,986,6
"Whales",72,855,73
"Worms",54,875,71
