"","-","0","+"
"Bivalves",782,0,218
"D piscivores",660,0,340
"Detritus",638,0,362
"Discards",588,0,412
"Fishery",740,0,260
"Gelatinous zoop",635,0,365
"L benthivores",546,0,454
"Large pelagics",574,0,426
"Macrozoop",919,0,81
"Megabenthos",392,0,608
"Meiofauna",337,0,663
"Mesozoop",537,0,463
"Microflora",500,0,500
"Microzoop",594,0,406
"Other molluscs",725,0,275
"Other pelagic mesopelagic",624,0,376
"Phytoplankton",868,0,132
"Sea birds",866,0,134
"Seals",613,0,387
"Sharks",554,0,446
"Shrimps",602,0,398
"Skates",527,0,473
"Small crab other arthropoda",477,0,523
"Small pelagics",626,0,374
"Squids",608,0,392
"Toothed cetaceans",657,0,343
"Whales",856,0,144
"Worms",526,0,474
