"","-","0","+"
"Bivalves",642,0,358
"D piscivores",682,0,318
"Detritus",737,0,263
"Discards",658,0,342
"Fishery",754,0,246
"Gelatinous zoop",592,0,408
"L benthivores",698,0,302
"Large pelagics",425,0,575
"Macrozoop",918,0,82
"Megabenthos",682,0,318
"Meiofauna",737,0,263
"Mesozoop",876,0,124
"Microflora",132,0,868
"Microzoop",690,0,310
"Other molluscs",861,0,139
"Other pelagic mesopelagic",673,0,327
"Phytoplankton",990,0,10
"Sea birds",831,0,169
"Seals",580,0,420
"Sharks",566,0,434
"Shrimps",519,0,481
"Skates",533,0,467
"Small crab other arthropoda",342,0,658
"Small pelagics",605,0,395
"Squids",519,0,481
"Toothed cetaceans",659,0,341
"Whales",918,0,82
"Worms",737,0,263
