"","-","0","+"
"Bivalves",142,738,120
"D piscivores",142,738,120
"Detritus",132,738,130
"Discards",122,738,140
"Fishery",128,738,134
"Gelatinous zoop",143,737,120
"L benthivores",130,737,133
"Large pelagics",141,737,122
"Macrozoop",135,738,127
"Megabenthos",127,738,135
"Meiofauna",120,738,142
"Mesozoop",122,738,140
"Microflora",146,738,116
"Microzoop",141,738,121
"Other molluscs",115,741,144
"Other pelagic mesopelagic",143,739,118
"Phytoplankton",113,762,125
"Sea birds",121,763,116
"Seals",1000,0,0
"Sharks",130,738,132
"Shrimps",132,737,131
"Skates",134,738,128
"Small crab other arthropoda",141,738,121
"Small pelagics",137,738,125
"Squids",132,738,130
"Toothed cetaceans",128,738,134
"Whales",127,738,135
"Worms",134,738,128
