"","-","0","+"
"Bivalves",67,878,55
"D piscivores",21,959,20
"Detritus",8,976,16
"Discards",9,979,12
"Fishery",44,910,46
"Gelatinous zoop",68,864,68
"L benthivores",34,899,67
"Large pelagics",1000,0,0
"Macrozoop",33,909,58
"Megabenthos",61,881,58
"Meiofauna",14,971,15
"Mesozoop",67,866,67
"Microflora",63,857,80
"Microzoop",75,863,62
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",65,860,75
"Phytoplankton",67,878,55
"Sea birds",0,1000,0
"Seals",1000,0,0
"Sharks",64,888,48
"Shrimps",10,983,7
"Skates",61,883,56
"Small crab other arthropoda",12,979,9
"Small pelagics",1000,0,0
"Squids",70,871,59
"Toothed cetaceans",64,894,42
"Whales",62,883,55
"Worms",11,972,17
