"","-","0","+"
"Bivalves",321,409,270
"D piscivores",263,479,258
"Detritus",257,497,246
"Discards",247,489,264
"Fishery",1000,0,0
"Gelatinous zoop",261,466,273
"L benthivores",280,440,280
"Large pelagics",0,0,1000
"Macrozoop",191,611,198
"Megabenthos",0,0,1000
"Meiofauna",253,502,245
"Mesozoop",205,577,218
"Microflora",249,496,255
"Microzoop",255,500,245
"Other molluscs",317,379,304
"Other pelagic mesopelagic",281,431,288
"Phytoplankton",204,606,190
"Sea birds",264,497,239
"Seals",1000,0,0
"Sharks",0,0,1000
"Shrimps",297,399,304
"Skates",0,0,1000
"Small crab other arthropoda",264,489,247
"Small pelagics",262,517,221
"Squids",255,515,230
"Toothed cetaceans",0,0,1000
"Whales",227,563,210
"Worms",257,506,237
