"","-","0","+"
"Bivalves",206,0,794
"D piscivores",33,0,967
"Detritus",803,0,197
"Discards",587,0,413
"Fishery",811,0,189
"Gelatinous zoop",978,0,22
"L benthivores",566,0,434
"Large pelagics",910,0,90
"Macrozoop",4,0,996
"Megabenthos",215,0,785
"Meiofauna",803,0,197
"Mesozoop",996,0,4
"Microflora",720,0,280
"Microzoop",45,0,955
"Other molluscs",524,0,476
"Other pelagic mesopelagic",622,0,378
"Phytoplankton",4,0,996
"Sea birds",694,0,306
"Seals",590,0,410
"Sharks",742,0,258
"Shrimps",456,0,544
"Skates",399,0,601
"Small crab other arthropoda",413,0,587
"Small pelagics",997,0,3
"Squids",504,0,496
"Toothed cetaceans",564,0,436
"Whales",4,0,996
"Worms",803,0,197
