"","-","0","+"
"Bivalves",626,0,374
"D piscivores",447,0,553
"Detritus",265,0,735
"Discards",413,0,587
"Fishery",318,0,682
"Gelatinous zoop",344,0,656
"L benthivores",786,0,214
"Large pelagics",469,0,531
"Macrozoop",672,0,328
"Megabenthos",531,0,469
"Meiofauna",610,0,390
"Mesozoop",275,0,725
"Microflora",573,0,427
"Microzoop",427,0,573
"Other molluscs",489,0,511
"Other pelagic mesopelagic",368,0,632
"Phytoplankton",605,0,395
"Sea birds",317,0,683
"Seals",444,0,556
"Sharks",537,0,463
"Shrimps",530,0,470
"Skates",578,0,422
"Small crab other arthropoda",619,0,381
"Small pelagics",115,0,885
"Squids",657,0,343
"Toothed cetaceans",498,0,502
"Whales",319,0,681
"Worms",210,0,790
