"","-","0","+"
"Bivalves",76,846,78
"D piscivores",115,766,119
"Detritus",91,811,98
"Discards",96,823,81
"Fishery",101,803,96
"Gelatinous zoop",134,737,129
"L benthivores",134,747,119
"Large pelagics",0,0,1000
"Macrozoop",77,832,91
"Megabenthos",91,815,94
"Meiofauna",91,811,98
"Mesozoop",89,827,84
"Microflora",95,807,98
"Microzoop",93,807,100
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",129,740,131
"Phytoplankton",76,846,78
"Sea birds",0,1000,0
"Seals",484,0,516
"Sharks",0,0,1000
"Shrimps",83,821,96
"Skates",99,777,124
"Small crab other arthropoda",81,823,96
"Small pelagics",0,0,1000
"Squids",98,759,143
"Toothed cetaceans",113,773,114
"Whales",83,827,90
"Worms",91,806,103
