"","-","0","+"
"Bivalves",499,0,501
"D piscivores",516,0,484
"Detritus",560,0,440
"Discards",638,0,362
"Fishery",832,0,168
"Gelatinous zoop",590,0,410
"L benthivores",491,0,509
"Large pelagics",316,0,684
"Macrozoop",451,0,549
"Megabenthos",552,0,448
"Meiofauna",516,0,484
"Mesozoop",477,0,523
"Microflora",580,0,420
"Microzoop",520,0,480
"Other molluscs",344,0,656
"Other pelagic mesopelagic",529,0,471
"Phytoplankton",455,0,545
"Sea birds",431,0,569
"Seals",620,0,380
"Sharks",352,0,648
"Shrimps",448,0,552
"Skates",402,0,598
"Small crab other arthropoda",469,0,531
"Small pelagics",528,0,472
"Squids",557,0,443
"Toothed cetaceans",443,0,557
"Whales",583,0,417
"Worms",585,0,415
