"","-","0","+"
"Bivalves",374,0,626
"D piscivores",553,0,447
"Detritus",735,0,265
"Discards",587,0,413
"Fishery",682,0,318
"Gelatinous zoop",656,0,344
"L benthivores",214,0,786
"Large pelagics",531,0,469
"Macrozoop",328,0,672
"Megabenthos",469,0,531
"Meiofauna",390,0,610
"Mesozoop",725,0,275
"Microflora",427,0,573
"Microzoop",573,0,427
"Other molluscs",511,0,489
"Other pelagic mesopelagic",632,0,368
"Phytoplankton",395,0,605
"Sea birds",683,0,317
"Seals",556,0,444
"Sharks",463,0,537
"Shrimps",470,0,530
"Skates",422,0,578
"Small crab other arthropoda",381,0,619
"Small pelagics",885,0,115
"Squids",343,0,657
"Toothed cetaceans",502,0,498
"Whales",681,0,319
"Worms",790,0,210
