"","-","0","+"
"Bivalves",107,0,893
"D piscivores",0,0,1000
"Detritus",398,0,602
"Discards",602,0,398
"Fishery",107,0,893
"Gelatinous zoop",493,0,507
"L benthivores",493,0,507
"Large pelagics",669,0,331
"Macrozoop",0,0,1000
"Megabenthos",107,0,893
"Meiofauna",398,0,602
"Mesozoop",0,0,1000
"Microflora",602,0,398
"Microzoop",791,0,209
"Other molluscs",148,0,852
"Other pelagic mesopelagic",316,0,684
"Phytoplankton",0,0,1000
"Sea birds",266,0,734
"Seals",375,0,625
"Sharks",611,0,389
"Shrimps",473,0,527
"Skates",371,0,629
"Small crab other arthropoda",398,0,602
"Small pelagics",475,0,525
"Squids",489,0,511
"Toothed cetaceans",684,0,316
"Whales",0,0,1000
"Worms",398,0,602
