"","-","0","+"
"Bivalves",78,846,76
"D piscivores",119,766,115
"Detritus",98,811,91
"Discards",81,823,96
"Fishery",96,803,101
"Gelatinous zoop",129,737,134
"L benthivores",119,747,134
"Large pelagics",1000,0,0
"Macrozoop",91,832,77
"Megabenthos",94,815,91
"Meiofauna",98,811,91
"Mesozoop",84,827,89
"Microflora",98,807,95
"Microzoop",100,807,93
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",131,740,129
"Phytoplankton",78,846,76
"Sea birds",0,1000,0
"Seals",516,0,484
"Sharks",1000,0,0
"Shrimps",96,821,83
"Skates",124,777,99
"Small crab other arthropoda",96,823,81
"Small pelagics",1000,0,0
"Squids",143,759,98
"Toothed cetaceans",114,773,113
"Whales",90,827,83
"Worms",103,806,91
