"","-","0","+"
"Bivalves",358,0,642
"D piscivores",318,0,682
"Detritus",263,0,737
"Discards",342,0,658
"Fishery",246,0,754
"Gelatinous zoop",408,0,592
"L benthivores",302,0,698
"Large pelagics",575,0,425
"Macrozoop",82,0,918
"Megabenthos",318,0,682
"Meiofauna",263,0,737
"Mesozoop",124,0,876
"Microflora",868,0,132
"Microzoop",310,0,690
"Other molluscs",139,0,861
"Other pelagic mesopelagic",327,0,673
"Phytoplankton",10,0,990
"Sea birds",169,0,831
"Seals",420,0,580
"Sharks",434,0,566
"Shrimps",481,0,519
"Skates",467,0,533
"Small crab other arthropoda",658,0,342
"Small pelagics",395,0,605
"Squids",481,0,519
"Toothed cetaceans",341,0,659
"Whales",82,0,918
"Worms",263,0,737
