"","-","0","+"
"Bivalves",375,0,625
"D piscivores",579,0,421
"Detritus",483,0,517
"Discards",471,0,529
"Fishery",386,0,614
"Gelatinous zoop",478,0,522
"L benthivores",529,0,471
"Large pelagics",541,0,459
"Macrozoop",533,0,467
"Megabenthos",590,0,410
"Meiofauna",529,0,471
"Mesozoop",484,0,516
"Microflora",491,0,509
"Microzoop",417,0,583
"Other molluscs",477,0,523
"Other pelagic mesopelagic",652,0,348
"Phytoplankton",418,0,582
"Sea birds",474,0,526
"Seals",502,0,498
"Sharks",449,0,551
"Shrimps",590,0,410
"Skates",423,0,577
"Small crab other arthropoda",527,0,473
"Small pelagics",199,0,801
"Squids",502,0,498
"Toothed cetaceans",466,0,534
"Whales",436,0,564
"Worms",496,0,504
