"","-","0","+"
"Bivalves",625,0,375
"D piscivores",421,0,579
"Detritus",517,0,483
"Discards",529,0,471
"Fishery",614,0,386
"Gelatinous zoop",522,0,478
"L benthivores",471,0,529
"Large pelagics",459,0,541
"Macrozoop",467,0,533
"Megabenthos",410,0,590
"Meiofauna",471,0,529
"Mesozoop",516,0,484
"Microflora",509,0,491
"Microzoop",583,0,417
"Other molluscs",523,0,477
"Other pelagic mesopelagic",348,0,652
"Phytoplankton",582,0,418
"Sea birds",526,0,474
"Seals",498,0,502
"Sharks",551,0,449
"Shrimps",410,0,590
"Skates",577,0,423
"Small crab other arthropoda",473,0,527
"Small pelagics",801,0,199
"Squids",498,0,502
"Toothed cetaceans",534,0,466
"Whales",564,0,436
"Worms",504,0,496
