"","-","0","+"
"Bivalves",560,0,440
"D piscivores",449,0,551
"Detritus",460,0,540
"Discards",528,0,472
"Fishery",431,0,569
"Gelatinous zoop",639,0,361
"L benthivores",526,0,474
"Large pelagics",365,0,635
"Macrozoop",502,0,498
"Megabenthos",436,0,564
"Meiofauna",432,0,568
"Mesozoop",506,0,494
"Microflora",431,0,569
"Microzoop",351,0,649
"Other molluscs",641,0,359
"Other pelagic mesopelagic",517,0,483
"Phytoplankton",527,0,473
"Sea birds",492,0,508
"Seals",823,0,177
"Sharks",711,0,289
"Shrimps",471,0,529
"Skates",412,0,588
"Small crab other arthropoda",518,0,482
"Small pelagics",442,0,558
"Squids",521,0,479
"Toothed cetaceans",502,0,498
"Whales",446,0,554
"Worms",619,0,381
