"","-","0","+"
"Bivalves",581,0,419
"D piscivores",469,0,531
"Detritus",510,0,490
"Discards",641,0,359
"Fishery",659,0,341
"Gelatinous zoop",585,0,415
"L benthivores",528,0,472
"Large pelagics",583,0,417
"Macrozoop",503,0,497
"Megabenthos",429,0,571
"Meiofauna",629,0,371
"Mesozoop",497,0,503
"Microflora",317,0,683
"Microzoop",587,0,413
"Other molluscs",494,0,506
"Other pelagic mesopelagic",663,0,337
"Phytoplankton",837,0,163
"Sea birds",523,0,477
"Seals",521,0,479
"Sharks",462,0,538
"Shrimps",452,0,548
"Skates",602,0,398
"Small crab other arthropoda",420,0,580
"Small pelagics",387,0,613
"Squids",444,0,556
"Toothed cetaceans",484,0,516
"Whales",532,0,468
"Worms",598,0,402
