"","-","0","+"
"Bivalves",218,0,782
"D piscivores",340,0,660
"Detritus",362,0,638
"Discards",412,0,588
"Fishery",260,0,740
"Gelatinous zoop",365,0,635
"L benthivores",454,0,546
"Large pelagics",426,0,574
"Macrozoop",81,0,919
"Megabenthos",608,0,392
"Meiofauna",663,0,337
"Mesozoop",463,0,537
"Microflora",500,0,500
"Microzoop",406,0,594
"Other molluscs",275,0,725
"Other pelagic mesopelagic",376,0,624
"Phytoplankton",132,0,868
"Sea birds",134,0,866
"Seals",387,0,613
"Sharks",446,0,554
"Shrimps",398,0,602
"Skates",473,0,527
"Small crab other arthropoda",523,0,477
"Small pelagics",374,0,626
"Squids",392,0,608
"Toothed cetaceans",343,0,657
"Whales",144,0,856
"Worms",474,0,526
