"","-","0","+"
"Bivalves",1000,0,0
"D piscivores",1000,0,0
"Detritus",0,0,1000
"Discards",1000,0,0
"Fishery",0,1000,0
"Gelatinous zoop",512,0,488
"L benthivores",504,0,496
"Large pelagics",495,0,505
"Macrozoop",1000,0,0
"Megabenthos",0,1000,0
"Meiofauna",0,0,1000
"Mesozoop",1000,0,0
"Microflora",1000,0,0
"Microzoop",0,0,1000
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",503,0,497
"Phytoplankton",1000,0,0
"Sea birds",0,1000,0
"Seals",501,0,499
"Sharks",495,0,505
"Shrimps",0,0,1000
"Skates",0,1000,0
"Small crab other arthropoda",0,0,1000
"Small pelagics",495,0,505
"Squids",510,0,490
"Toothed cetaceans",0,1000,0
"Whales",1000,0,0
"Worms",0,0,1000
