"","-","0","+"
"Bivalves",763,0,237
"D piscivores",824,0,176
"Detritus",611,1,388
"Discards",135,0,865
"Fishery",22,0,978
"Gelatinous zoop",262,0,738
"L benthivores",81,0,919
"Large pelagics",868,0,132
"Macrozoop",352,0,648
"Megabenthos",953,0,47
"Meiofauna",611,1,388
"Mesozoop",648,0,352
"Microflora",552,0,448
"Microzoop",367,0,633
"Other molluscs",167,0,833
"Other pelagic mesopelagic",553,0,447
"Phytoplankton",352,0,648
"Sea birds",558,0,442
"Seals",255,0,745
"Sharks",600,0,400
"Shrimps",505,0,495
"Skates",559,0,441
"Small crab other arthropoda",865,0,135
"Small pelagics",649,0,351
"Squids",64,0,936
"Toothed cetaceans",704,0,296
"Whales",352,0,648
"Worms",611,2,387
