"","-","0","+"
"Bivalves",794,0,206
"D piscivores",967,0,33
"Detritus",196,1,803
"Discards",413,0,587
"Fishery",189,0,811
"Gelatinous zoop",22,0,978
"L benthivores",434,0,566
"Large pelagics",90,0,910
"Macrozoop",996,0,4
"Megabenthos",785,0,215
"Meiofauna",196,1,803
"Mesozoop",4,0,996
"Microflora",280,0,720
"Microzoop",955,0,45
"Other molluscs",476,0,524
"Other pelagic mesopelagic",378,0,622
"Phytoplankton",996,0,4
"Sea birds",306,0,694
"Seals",410,0,590
"Sharks",258,0,742
"Shrimps",544,0,456
"Skates",601,0,399
"Small crab other arthropoda",587,0,413
"Small pelagics",3,0,997
"Squids",496,0,504
"Toothed cetaceans",436,0,564
"Whales",996,0,4
"Worms",196,1,803
