,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
21,"L benthivores <41",0,0.01616598,0.002851997,0,0.02058598,0.001036999,0,0.001555001,0.001790998,0.001790998,0,0,0,0,0.01396198,0.01396198,0.0001404791,0.0002889997,0.01975598,0.01728398,0.009965991,0.008671001,0.0006899994,0.004071996,0.001379,0,0,0,0,0,0,0,0.000147,0.0002169998,0.0004649995,0,0,0,0,0,0,0.000215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,"L bentivores 41+",0,0.005863994,0.002812997,0,0.1060689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003382999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,"Skates <49",0,0,0.006431994,0,0.0008079991,0.002838997,0,0,3.399996E-05,3.399996E-05,0,0,0,0,0,0,0,0,0.004265995,0.005959994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,"Skates 49+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,Dogfish,0,0.0004669996,0,0,0.05148594,0.01104599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,"Redfish <22",0,0,0.1381559,0,0.005025994,0.02946997,0,0.006139006,0.0004429995,0.0004429995,0,0,0,0,0,0,0.0006728743,3.199997E-05,0,0.002843997,0,0,0,0.1173219,0.013318,0,0,0,0,0,0,0,0.000556,0.002090998,0.004527995,0,0,0,0,0,0,0.004695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,"Redfish 22+",0,0,0.06287594,0,0.01168499,0.1058389,0,0,0.09263489,0.09263489,0,0,0,0,0,0,0,0,0,0.02829297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,"A plaice <26",0,0.001418999,9.999991E-07,0,0.002332998,0.0002039998,0,8.000007E-06,0,0,0,0,0,0,0.0007239992,0.0007239992,0,0,0.006327993,0.01658498,0,0,0,0.0005059995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002884003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,"A plaice 26+",0,0,2.099998E-05,0,0.005476994,0,0,0,0.01793898,0.01793898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,"Flounders <30",0,2.899997E-05,0.02839397,0,0.05447194,0.004294996,0,0.02921703,0.00784599,0.00784599,0,0,0,0.007992008,0.00931599,0.00931599,0,0,0.01242199,0.002898997,0.0002479998,0,0,0,8.499999E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004534005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
